trip_id,date_departure,date_arrival,status,client_id,client_name,client_region,route_id,origin_city,destination_city,route_type,cargo_type,trip_distance_km,route_distance_km,route_has_port,truck_id,truck_brand,truck_model,truck_capacity_tons,truck_year,driver_id,driver_name,driver_commission_rate,cargo_tons_actual,load_factor_pct,delay_hours,revenue_uah,estimated_fuel_liters,fuel_cost_uah,batches_used,gross_profit_uah,gross_margin_pct
TRP-00001,2022-07-01,2022-07-02,completed,CLT-02,ПП ДніпроЗерно,Дніпропетровська,RTE-02,Дніпро,Одеса,highway,corn,472.0,472,1,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,20.76,86.5,1.8,18715.5552,239.59,12985.78,FB-001,5729.775199999998,30.6
TRP-00002,2022-07-01,2022-07-01,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,16.44,68.5,1.5,3829.8624,56.85,3081.27,FB-001,748.5924,19.5
TRP-00003,2022-07-01,2022-07-01,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-05,Scania,R450,24.5,2018,DRV-05,Ігор Шевченко,0.13,16.74,68.3,1.1,3899.7504,54.93,2977.21,FB-001,922.5403999999999,23.7
TRP-00004,2022-07-01,2022-07-01,delayed,CLT-08,ТОВ Пшеничний Шлях,Чернігівська,RTE-08,Чернігів,Київ,local,wheat,149.0,149,0,TRK-05,Scania,R450,24.5,2018,DRV-11,Тарас Гончар,0.13,24.47,99.9,2.1,6526.3937,73.07,3960.39,FB-001,2566.0036999999998,39.3
TRP-00005,2022-07-01,2022-07-01,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-05,Scania,R450,24.5,2018,DRV-05,Ігор Шевченко,0.13,19.47,79.5,0.4,1883.1384,25.5,1382.1,FB-001,501.03840000000014,26.6
TRP-00006,2022-07-01,2022-07-02,completed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,sunflower,267.0,267,0,TRK-07,Mercedes,Actros 1845,24.0,2019,DRV-07,Петро Романюк,0.13,21.46,89.4,1.7,13293.1824,130.95,7097.49,FB-001,6195.6924,46.6
TRP-00007,2022-07-01,2022-07-01,delayed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-07,Mercedes,Actros 1845,24.0,2019,DRV-07,Петро Романюк,0.13,19.98,83.2,6.9,4139.856,54.93,2977.21,FB-001,1162.6459999999997,28.1
TRP-00008,2022-07-01,2022-07-01,completed,CLT-08,ТОВ Пшеничний Шлях,Чернігівська,RTE-08,Чернігів,Київ,local,wheat,149.0,149,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,18.57,74.3,1.2,5201.8284,62.27,3375.03,FB-001,1826.7984000000001,35.1
TRP-00009,2022-07-02,2022-07-02,completed,CLT-08,ТОВ Пшеничний Шлях,Чернігівська,RTE-08,Чернігів,Київ,local,wheat,149.0,149,0,TRK-01,DAF,XF 105,22.0,2015,DRV-01,Олександр Ковальчук,0.12,21.24,96.6,1.4,5949.7488,68.52,3713.78,FB-001,2235.9688,37.6
TRP-00010,2022-07-02,2022-07-03,completed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,corn,267.0,267,0,TRK-01,DAF,XF 105,22.0,2015,DRV-11,Тарас Гончар,0.13,19.77,89.9,1.6,12246.3288,122.78,6654.68,FB-001,5591.648799999999,45.7
TRP-00011,2022-07-02,2022-07-02,completed,CLT-05,ТОВ Соєвий Дім,Черкаська,RTE-05,Черкаси,Кременчук,local,soy,118.0,118,0,TRK-01,DAF,XF 105,22.0,2015,DRV-01,Олександр Ковальчук,0.12,21.72,98.7,1.6,7048.14,54.26,2940.89,FB-001,4107.25,58.3
TRP-00012,2022-07-02,2022-07-02,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-03,DAF,CF 85,21.5,2017,DRV-03,Сергій Мельник,0.12,18.86,87.7,0.8,1824.1392,27.28,1478.58,FB-001,345.55920000000015,18.9
TRP-00013,2022-07-02,2022-07-02,completed,CLT-05,ТОВ Соєвий Дім,Черкаська,RTE-05,Черкаси,Кременчук,local,soy,118.0,118,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,21.51,89.6,1.7,6979.995,59.9,3246.58,FB-001,3733.415,53.5
TRP-00014,2022-07-02,2022-07-02,completed,CLT-08,ТОВ Пшеничний Шлях,Чернігівська,RTE-08,Чернігів,Київ,local,wheat,149.0,149,0,TRK-07,Mercedes,Actros 1845,24.0,2019,DRV-07,Петро Романюк,0.13,16.36,68.2,0.7,4948.4092,73.08,3960.94,FB-001,987.4692,20.0
TRP-00015,2022-07-02,2022-07-03,completed,CLT-02,ПП ДніпроЗерно,Дніпропетровська,RTE-02,Дніпро,Одеса,highway,wheat,472.0,472,1,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,23.8,95.2,1.6,20557.488,197.25,10690.95,FB-001,9866.538,48.0
TRP-00016,2022-07-02,2022-07-03,completed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,soy,267.0,267,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,21.06,84.2,0.9,13045.4064,111.58,6047.64,FB-001,6997.7663999999995,53.6
TRP-00017,2022-07-02,2022-07-03,completed,CLT-01,ТОВ Соняшник-Агро,Кіровоградська,RTE-01,Кропивницький,Дніпро,highway,sunflower,246.0,246,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,24.97,99.9,1.5,14742.288,102.8,5571.76,FB-001,9170.528,62.2
TRP-00018,2022-07-02,2022-07-02,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,23.0,92.0,0.6,4611.04,46.81,2537.1,FB-001,2073.94,45.0
TRP-00019,2022-07-02,2022-07-02,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,22.75,91.0,0.5,2164.89,21.73,1177.77,FB-001,987.1199999999999,45.6
TRP-00020,2022-07-02,2022-07-03,completed,CLT-01,ТОВ Соняшник-Агро,Кіровоградська,RTE-01,Кропивницький,Дніпро,highway,sunflower,246.0,246,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,23.99,96.0,1.0,14163.696,102.8,5571.76,FB-001,8591.936,60.7
TRP-00021,2022-07-03,2022-07-04,completed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,sunflower,267.0,267,0,TRK-01,DAF,XF 105,22.0,2015,DRV-01,Олександр Ковальчук,0.12,20.87,94.9,0.2,12927.7128,122.78,6654.68,FB-001,6273.032799999999,48.5
TRP-00022,2022-07-03,2022-07-04,completed,CLT-11,ТОВ Нива Експорт,Одеська,RTE-10,Подільськ,Чорноморськ,highway,wheat,214.0,214,1,TRK-02,DAF,XF 106,23.0,2016,DRV-02,Віталій Бондаренко,0.12,18.82,81.8,0.3,7289.7388,83.03,4500.23,FB-001,2789.5088000000005,38.3
TRP-00023,2022-07-03,2022-07-04,completed,CLT-01,ТОВ Соняшник-Агро,Кіровоградська,RTE-01,Кропивницький,Дніпро,highway,sunflower,246.0,246,0,TRK-02,DAF,XF 106,23.0,2016,DRV-02,Віталій Бондаренко,0.12,21.33,92.7,0.4,12855.591,95.45,5173.39,FB-001,7682.201,59.8
TRP-00024,2022-07-03,2022-07-05,completed,CLT-03,ТОВ Полтавські Лани,Полтавська,RTE-03,Полтава,Чорноморськ,highway,wheat,612.0,612,1,TRK-03,DAF,CF 85,21.5,2017,DRV-03,Сергій Мельник,0.12,20.42,95.0,0.1,23744.376,321.05,17400.91,FB-001,6343.466,26.7
TRP-00025,2022-07-03,2022-07-04,delayed,CLT-01,ТОВ Соняшник-Агро,Кіровоградська,RTE-01,Кропивницький,Дніпро,highway,sunflower,246.0,246,0,TRK-03,DAF,CF 85,21.5,2017,DRV-03,Сергій Мельник,0.12,20.03,93.1,2.1,12072.081,129.05,6994.51,FB-001,5077.571,42.1
TRP-00026,2022-07-03,2022-07-03,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,26.39,110.0,0.3,5290.6672,56.85,3081.27,FB-001,2209.3972,41.8
TRP-00027,2022-07-03,2022-07-03,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,18.34,76.4,1.1,3800.048,56.85,3081.27,FB-001,718.7779999999998,18.9
TRP-00028,2022-07-03,2022-07-03,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-05,Scania,R450,24.5,2018,DRV-05,Ігор Шевченко,0.13,25.3,103.2,1.0,5072.144,54.93,2977.21,FB-001,2094.934,41.3
TRP-00029,2022-07-03,2022-07-03,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-05,Scania,R450,24.5,2018,DRV-05,Ігор Шевченко,0.13,21.85,89.2,1.8,4527.32,54.93,2977.21,FB-001,1550.1099999999997,34.2
TRP-00030,2022-07-03,2022-07-03,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-08,DAF,XF 480,25.0,2020,DRV-08,Юрій Дорошенко,0.13,21.54,86.2,1.6,4463.088,54.15,2934.93,FB-001,1528.158,34.2
TRP-00031,2022-07-03,2022-07-04,completed,CLT-11,ТОВ Нива Експорт,Одеська,RTE-10,Подільськ,Чорноморськ,highway,wheat,214.0,214,1,TRK-10,Scania,G450,24.0,2021,DRV-10,Дмитро Лисенко,0.12,23.57,98.2,0.6,8373.0068,90.72,4917.02,FB-001,3455.9867999999988,41.3
TRP-00032,2022-07-04,2022-07-04,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,18.08,75.3,1.6,1748.6976,26.4,1430.88,FB-001,317.81759999999986,18.2
TRP-00033,2022-07-04,2022-07-04,completed,CLT-05,ТОВ Соєвий Дім,Черкаська,RTE-05,Черкаси,Кременчук,local,soy,118.0,118,0,TRK-05,Scania,R450,24.5,2018,DRV-05,Ігор Шевченко,0.13,22.27,90.9,0.4,7068.9434,57.87,3136.55,FB-001,3932.3934,55.6
