trip_id,date_departure,date_arrival,status,client_id,client_name,client_region,route_id,origin_city,destination_city,route_type,cargo_type,trip_distance_km,route_distance_km,route_has_port,truck_id,truck_brand,truck_model,truck_capacity_tons,truck_year,driver_id,driver_name,driver_commission_rate,cargo_tons_actual,load_factor_pct,delay_hours,revenue_uah,estimated_fuel_liters
TRP-00001,2022-07-01,2022-07-02,completed,CLT-02,ПП ДніпроЗерно,Дніпропетровська,RTE-02,Дніпро,Одеса,highway,corn,472.0,472,1,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,20.76,86.5,1.8,18715.5552,239.59
TRP-00002,2022-07-01,2022-07-01,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,16.44,68.5,1.5,3829.8624,56.85
TRP-00003,2022-07-01,2022-07-01,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-05,Scania,R450,24.5,2018,DRV-05,Ігор Шевченко,0.13,16.74,68.3,1.1,3899.7504,54.93
TRP-00004,2022-07-01,2022-07-01,delayed,CLT-08,ТОВ Пшеничний Шлях,Чернігівська,RTE-08,Чернігів,Київ,local,wheat,149.0,149,0,TRK-05,Scania,R450,24.5,2018,DRV-11,Тарас Гончар,0.13,24.47,99.9,2.1,6526.3937,73.07
TRP-00005,2022-07-01,2022-07-01,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-05,Scania,R450,24.5,2018,DRV-05,Ігор Шевченко,0.13,19.47,79.5,0.4,1883.1384,25.5
TRP-00006,2022-07-01,2022-07-02,completed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,sunflower,267.0,267,0,TRK-07,Mercedes,Actros 1845,24.0,2019,DRV-07,Петро Романюк,0.13,21.46,89.4,1.7,13293.1824,130.95
TRP-00007,2022-07-01,2022-07-01,delayed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-07,Mercedes,Actros 1845,24.0,2019,DRV-07,Петро Романюк,0.13,19.98,83.2,6.9,4139.856,54.93
TRP-00008,2022-07-01,2022-07-01,completed,CLT-08,ТОВ Пшеничний Шлях,Чернігівська,RTE-08,Чернігів,Київ,local,wheat,149.0,149,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,18.57,74.3,1.2,5201.8284,62.27
TRP-00009,2022-07-02,2022-07-02,completed,CLT-08,ТОВ Пшеничний Шлях,Чернігівська,RTE-08,Чернігів,Київ,local,wheat,149.0,149,0,TRK-01,DAF,XF 105,22.0,2015,DRV-01,Олександр Ковальчук,0.12,21.24,96.6,1.4,5949.7488,68.52
TRP-00010,2022-07-02,2022-07-03,completed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,corn,267.0,267,0,TRK-01,DAF,XF 105,22.0,2015,DRV-11,Тарас Гончар,0.13,19.77,89.9,1.6,12246.3288,122.78
TRP-00011,2022-07-02,2022-07-02,completed,CLT-05,ТОВ Соєвий Дім,Черкаська,RTE-05,Черкаси,Кременчук,local,soy,118.0,118,0,TRK-01,DAF,XF 105,22.0,2015,DRV-01,Олександр Ковальчук,0.12,21.72,98.7,1.6,7048.14,54.26
TRP-00012,2022-07-02,2022-07-02,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-03,DAF,CF 85,21.5,2017,DRV-03,Сергій Мельник,0.12,18.86,87.7,0.8,1824.1392,27.28
TRP-00013,2022-07-02,2022-07-02,completed,CLT-05,ТОВ Соєвий Дім,Черкаська,RTE-05,Черкаси,Кременчук,local,soy,118.0,118,0,TRK-04,Volvo,FH 460,24.0,2018,DRV-04,Андрій Савченко,0.13,21.51,89.6,1.7,6979.995,59.9
TRP-00014,2022-07-02,2022-07-02,completed,CLT-08,ТОВ Пшеничний Шлях,Чернігівська,RTE-08,Чернігів,Київ,local,wheat,149.0,149,0,TRK-07,Mercedes,Actros 1845,24.0,2019,DRV-07,Петро Романюк,0.13,16.36,68.2,0.7,4948.4092,73.08
TRP-00015,2022-07-02,2022-07-03,completed,CLT-02,ПП ДніпроЗерно,Дніпропетровська,RTE-02,Дніпро,Одеса,highway,wheat,472.0,472,1,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,23.8,95.2,1.6,20557.488,197.25
TRP-00016,2022-07-02,2022-07-03,completed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,soy,267.0,267,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,21.06,84.2,0.9,13045.4064,111.58
TRP-00017,2022-07-02,2022-07-03,completed,CLT-01,ТОВ Соняшник-Агро,Кіровоградська,RTE-01,Кропивницький,Дніпро,highway,sunflower,246.0,246,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,24.97,99.9,1.5,14742.288,102.8
TRP-00018,2022-07-02,2022-07-02,completed,CLT-09,ФГ Золоте Колосся,Хмельницька,RTE-09,Хмельницький,Тернопіль,local,wheat,112.0,112,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,23.0,92.0,0.6,4611.04,46.81
TRP-00019,2022-07-02,2022-07-02,completed,CLT-07,ФГ Жнива-Поділля,Вінницька,RTE-07,Вінниця,Жмеринка,local,wheat,52.0,52,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,22.75,91.0,0.5,2164.89,21.73
TRP-00020,2022-07-02,2022-07-03,completed,CLT-01,ТОВ Соняшник-Агро,Кіровоградська,RTE-01,Кропивницький,Дніпро,highway,sunflower,246.0,246,0,TRK-09,Volvo,FH 500,25.0,2020,DRV-09,Василь Кравець,0.13,23.99,96.0,1.0,14163.696,102.8
TRP-00021,2022-07-03,2022-07-04,completed,CLT-06,АгроЛогістика Центр,Вінницька,RTE-06,Вінниця,Київ,highway,sunflower,267.0,267,0,TRK-01,DAF,XF 105,22.0,2015,DRV-01,Олександр Ковальчук,0.12,20.87,94.9,0.2,12927.7128,122.78
TRP-00022,2022-07-03,2022-07-04,completed,CLT-11,ТОВ Нива Експорт,Одеська,RTE-10,Подільськ,Чорноморськ,highway,wheat,214.0,214,1,TRK-02,DAF,XF 106,23.0,2016,DRV-02,Віталій Бондаренко,0.12,18.82,81.8,0.3,7289.7388,83.03
